Year,Tm,W,L,R/G,BA,OBP,SLG,OPS
2010,CHC,75,87,4.23,0.257,0.32,0.401,0.721
2010,CIN,91,71,4.88,0.272,0.33799999999999997,0.436,0.774
2010,CLE,69,93,3.99,0.248,0.322,0.37799999999999995,0.7
2010,COL,83,79,4.75,0.263,0.336,0.425,0.76
2010,DET,81,81,4.64,0.268,0.335,0.415,0.75
2010,FLA,80,82,4.44,0.254,0.321,0.40299999999999997,0.7240000000000001
2010,HOU,76,86,3.77,0.247,0.303,0.36200000000000004,0.665
2010,KCR,67,95,4.17,0.27399999999999997,0.331,0.39899999999999997,0.73
2010,LAA,80,82,4.2,0.248,0.311,0.39,0.7020000000000001
2010,LAD,80,82,4.12,0.252,0.322,0.379,0.7
2010,MIL,77,85,4.63,0.262,0.335,0.424,0.759
2010,MIN,94,68,4.82,0.273,0.341,0.42200000000000004,0.762
2010,NYY,95,67,5.3,0.267,0.35,0.436,0.7859999999999999
2010,NYM,79,83,4.05,0.249,0.314,0.38299999999999995,0.6970000000000001
2010,OAK,81,81,4.09,0.256,0.324,0.37799999999999995,0.7020000000000001
